Article ID	Year	Word Count	Archi Count	Archi Y/N	Archi Words	Ocean Count	Ocean Y/N	Ocean Words	Island Count	Island Y/N	Island Words	Continent Count	Continent Y/N	Continent Words	Water Count	Water Y/N	Sea Count	Sea Y/N	Mainland Count	Mainland Y/N	Mainland Words	Insular Count	Insular Y/N	Insular Words	Transnational Count	Transnational Y/N	Transnational Words	Pacific Count	Pacific Y/N	Pacific Words	Atlantic Count	Atlantic Y/N	Atlantic Words
1949_1_1_23-29_3031249	1949	2786	0	0	[]	0	0	[]	0	0	[]	3	1	['continental', 'continent', 'continent']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_3-8_3031247	1949	2210	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_30-37_3031250	1949	2787	0	0	[]	0	0	[]	0	0	[]	1	1	['continent']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_38-43_3031251	1949	2449	0	0	[]	0	0	[]	0	0	[]	5	1	['continent', 'continent', 'continental', 'subcontinent', 'continent']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
1949_1_1_44-57_3031252	1949	5517	0	0	[]	1	1	['Ocean']	8	1	['islands', 'Isles', 'Isles', 'Isles', 'islands', 'islands', 'islands', 'islands']	8	1	['continent', 'continent', 'continent', 'continent', 'continent', 'continent', 'continent', 'continent']	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	3	1	['Pacific', 'Pacific', 'Pacific']	0	0	[]
1949_1_1_58-82_3031253	1949	10080	0	0	[]	0	0	[]	0	0	[]	5	1	['Continent', 'continental', 'Continent', 'Continental', 'continental']	1	1	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	3	1	['transatlantic', 'Atlantic', 'Atlantic']
1949_1_1_83-91_3031254	1949	3669	0	0	[]	1	1	['Ocean']	1	1	['islands']	3	1	['continents', 'continents', 'continents']	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_9-22_3031248	1949	5808	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_92-94_3031255	1949	945	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_1_94-96_3031256	1949	1124	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_116-126_3031259	1949	4423	0	0	[]	0	0	[]	2	1	['islands', 'Isle']	1	1	['transcontinental']	2	1	3	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
1949_1_2_127-134_3031260	1949	3039	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_135-148_3031261	1949	5154	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_149-165_3031262	1949	5897	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	2	1	['Atlantic', 'Atlantic']
1949_1_2_166-169_3031263	1949	1576	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_169-183_3031264	1949	6026	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_183-185_3031265	1949	959	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_185-186_3031266	1949	467	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_186-190_3031267	1949	1693	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_2_190-192_3031268	1949	966	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	1	1	['Pacific']	0	0	[]
1949_1_2_99-115_3031258	1949	6436	0	0	[]	0	0	[]	4	1	['Island', 'Island', 'island', 'Island']	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_195-208_2710713	1949	5610	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_209-217_2710714	1949	3803	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_218-220_2710715	1949	974	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_221-224_2710716	1949	1595	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
1949_1_3_225-234_2710717	1949	3599	0	0	[]	0	0	[]	2	1	['Islands', 'Isles']	6	1	['continental', 'continental', 'continent', 'continental', 'continent', 'continent']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	1	1	['Pacific']	1	1	['Atlantic']
1949_1_3_235-246_2710718	1949	4626	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_247-263_2710719	1949	6883	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_264-279_2710720	1949	6072	0	0	[]	0	0	[]	0	0	[]	7	1	['continents', 'Continental', 'continent', 'continent', 'continent', 'Continent', 'Continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	5	1	['Atlantic', 'Atlantic', 'transatlantic', 'Atlantic', 'transatlantic']
1949_1_3_280-283_2710721	1949	1394	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1949_1_3_283-288_2710722	1949	2085	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
